query,template_query_fuzzy
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why filled hours changed in 2022,Why filled hours changed in 2022
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
